NACA 66(2)-415
   0.3625501     -0.5218169E-01
   0.3729305     -0.5241621E-01
   0.3833138     -0.5261467E-01
   0.3937025     -0.5277740E-01
   0.4040983     -0.5290471E-01
   0.4145026     -0.5299690E-01
   0.4249149     -0.5305430E-01
   0.4353323     -0.5307726E-01
   0.4457492     -0.5306617E-01
   0.4561579     -0.5302144E-01
   0.4665498     -0.5294265E-01
   0.4769208     -0.5282855E-01
   0.4872722     -0.5267786E-01
   0.4976109     -0.5248918E-01
   0.5079490     -0.5226097E-01
   0.5182963     -0.5199216E-01
   0.5286483     -0.5168227E-01
   0.5389840     -0.5133148E-01
   0.5492661     -0.5094097E-01
   0.5594455     -0.5051080E-01
   0.5694824     -0.5003191E-01
   0.5793671     -0.4949284E-01
   0.5891163     -0.4888177E-01
   0.5987684     -0.4818569E-01
   0.6083799     -0.4739240E-01
   0.6180094     -0.4650156E-01
   0.6277002     -0.4551622E-01
   0.6374790     -0.4444004E-01
   0.6473545     -0.4327847E-01
   0.6573151     -0.4203930E-01
   0.6673386     -0.4072923E-01
   0.6774076     -0.3935394E-01
   0.6875122     -0.3791850E-01
   0.6976506     -0.3642713E-01
   0.7078300     -0.3488304E-01
   0.7180613     -0.3328996E-01
   0.7283535     -0.3165234E-01
   0.7387123     -0.2997531E-01
   0.7491396     -0.2826478E-01
   0.7596335     -0.2652699E-01
   0.7701849     -0.2476744E-01
   0.7807750     -0.2299298E-01
   0.7913752     -0.2121231E-01
   0.8019472     -0.1943583E-01
   0.8124493     -0.1767680E-01
   0.8228544     -0.1594915E-01
   0.8331575     -0.1426288E-01
   0.8433725     -0.1262431E-01
   0.8535303     -0.1103668E-01
   0.8636676     -0.9498503E-02
   0.8737980     -0.8008068E-02
   0.8839022     -0.6568293E-02
   0.8939296     -0.5185945E-02
   0.9038041     -0.3871020E-02
   0.9134382     -0.2652471E-02
   0.9227576     -0.1570822E-02
   0.9317103     -0.6550232E-03
   0.9402665      0.7808488E-04
   0.9484152      0.6218678E-03
   0.9561599      0.9795813E-03
   0.9635141      0.1171209E-02
   0.9704984      0.1219958E-02
   0.9771366      0.1146230E-02
   0.9834535      0.9676315E-03
   0.9894737      0.6991915E-03
   0.9952207      0.3536612E-03
    1.000000       0.000000    
